タイトル,レビュー,カテゴリー,星数,参考になった数,生成元ID
　,"　
商品が片方しか作動しない欠陥品だったのは残念でしたが、メッセージを送ったところ迅速に対応していただき、新しい商品が届くのを待っています。片方の動作を試したところ、風が涼しく、音についてはまだ確認していないものの、気にならない印象です。欠陥品だったものの、すぐに対応してもらえたので、星は4つと評価しました。","1,6",2.5,0,48
　,"　
届いた商品には片方だけ作動するという不具合がありましたが、メッセージを送るとすぐに対応をしていただき、今は新しい商品が届くのを楽しみにしています。片方の動作を試した限りでは風が涼しく、音についてはまだ試していないため何とも言えませんが、あまり気にならないと感じました。欠陥があったものの迅速な対応に感謝しており、評価は星4つにしました。","1,6",2.5,0,48
　,"　
残念ながら届いた商品は片方しか動作しない欠陥品でしたが、メッセージを送ると迅速に対応してもらい、新しい商品の到着を待っています。片方を試したところ、涼しい風が感じられ、音もまだ確認していないためはっきりとは言えませんが、あまり気にならない印象です。欠陥商品だったものの、対応の速さに感謝し、星を4つ付けることにしました。","1,6",2.5,0,48
　,"　
今回届いた商品は片方が作動しないという欠陥がありましたが、メッセージを送ったらすぐに対応してもらい、新しい商品の到着を待っているところです。片方を試してみた結果、涼しい風を感じ、音についてはまだ試していないため詳しくは言えませんが、気にならないように思いました。欠陥商品であったものの、迅速な対応をいただいたため、評価は星4つとなりました。","1,6",2.5,0,48
　,"　
Amazonで購入した際、相性が大切だと感じました。値段に見合った品質だと思います。ヤマト運輸の配達員は、念のためインターフォンを鳴らして「ここに置いておきます」と声をかけてくれ、順調に所定の場所に設置できました。配達時の破損が心配でしたが、以前の経験から安心できました。","1,3,6,7",2.5,0,129
　,"　
購入時の相性を考え、今回はAmazonで買い物をしました。価格に対しては満足しています。ヤマト運輸の配達員がインターフォンを鳴らして「ここに置いておきます」と伝えてくれたおかげで、問題なく所定の場所に設置できました。以前の冷蔵庫ではトラブルがあったため、少し不安でしたが、今回は大丈夫でした。","1,3,6,7",2.5,0,129
　,"　
購入時には相性が重要で、Amazonでの購入を選びました。値段に対しては十分満足しています。配達員がインターフォンを鳴らし、「ここに置いておきます」と言ってくれたおかげで、スムーズに設置できました。以前の冷蔵庫では配達時に問題がありましたが、今回は安心して使えそうです。","1,3,6,7",2.5,0,129
　,"　
購入の際に相性を重視し、Amazonでの購入を決めました。価格に見合った品質だと思っています。ヤマト運輸の配達員が、「ここに置いておきます」とインターフォンを鳴らしてくれたため、問題なく設置できました。以前の経験から配達時のトラブルが心配でしたが、今回は特に問題なさそうです。","1,3,6,7",2.5,0,129
　,"　
冷蔵庫を触るのがちょっと怖かったです。ダンボールから出した後に本体に手を触れたら、静電気に驚かされました。商品の機能は良いと思いますが、内部の部品に工場で付いたと思われる傷があり、気になる方には気になるかもしれません。シールも斜めに貼られていることがあり、大量生産の影響だとは理解できます。","1,6",2.5,0,145
　,"　
この冷蔵庫は触れるのが不安でした。ダンボールから取り出して本体に触れた際、静電気で驚かされました。機能の面では優れていると思いますが、冷蔵庫内の部品には工場での傷が見受けられ、気になる人には気になるかもしれません。また、シールが斜めに貼られていることもあり、大量生産のため仕方ない部分も理解しています。","1,6",2.5,0,145
