タイトル,レビュー,カテゴリー,星数,参考になった数
1の風量なら、長く使える。,"1の風量なら、長く使える。
しかし、３の風量だと、直ぐに充電する必要があり、使っては、充電するので、長時間使う事が出来ないです。",1,4.0,0
暑さ対策,"暑さ対策
思ったより大きかったです。
音は静かです。充電は時間がかかりますが、電池の持ちは良いです。首にフィットして使い易いです。","1,4",4.0,0
ないと困る,"ないと困る
5~6年前買った羽根型使ってたのが壊れ購入
断然こちらの方が、きっちり顔に風が来ていいです
内側の丸い部分は風が出ないとレビュー書いて下さってた意味使って理解てきた
そこが少し残念なのと
説明書に保証延長のLINE登録書いてあったけれど、問い合わせも登録も全く存在してない感じなので保証期間内に壊れたら心配
 ","1,2",4.0,0
かなり涼しい,"かなり涼しい
モノが意外と大きく仕事中の使用はできないので、プライベート用か休憩時に使う事にしてます

電池は案外保つけど、最大風力だと微妙です

それでも首から上を冷すにはかなり涼しいので、重宝しそうです

大きくて少し重いし、首に掛けてる時に下手に動くと外れそうなので、星4つとします","1,4",4.0,0
実際は、、、。,"実際は、、、。
2台買いました。とてもパワフルで良いのですが、風量1でも8〜9時間の連続使用が最長でした。風量3だとその半分くらいですかね。
",1,4.0,0
スミマセン爽やかしかありません✌️感謝💕,"スミマセン爽やかしかありません✌️感謝💕
反省しております、もっと早くを‼️
ありがとうございます🥰🙏",8,4.0,0
コスパが良い,"コスパが良い
登山時に使用。想像していたより軽量でフィット感もよく涼しい。","1,4",4.0,0
静かな機種です。,"静かな機種です。
通勤に使ってます。
フル充電、風量MAXで3時間使えます。
電車内でも風量落とせば、音は気にならないです。欲を言えば、もっと風量が欲しいかな。","1,4",4.0,0
暑さ対策で,"暑さ対策で
思ったより大きく
少し重いけど、長い髪でも
絡むこともなく
良かったです","1,4",4.0,0
まあまあかな,"まあまあかな
まあまあかな。首のとこはみんな知ってるけど冷たくならないです。風は3段階でいい感じです。自分が感じてるほど、周りにはうるさくないらしく、ゴルフ中に使っても大丈夫そうですよ。あと、バッテリーの残量とか表示されるのはいいですね。バッテリーは結構持ちます。","1,4",4.0,0
😊👍,"😊👍
リピートしたけど…違うブランドになっちゃって…比べてみたら…前の方が風が強くて…
俺はまあまあかな🙄","1,2",4.0,0
良い,"良い
暑い中外で使えば熱風だがないよりはマシ。
室内で使う分には良し",4,4.0,0
風力が強く満足です。,"風力が強く満足です。
肩こりの私には、ありがたい軽さです。お風呂上がりや、食事の支度など手放せません。体にフィットして安定感があります。風力が強くて満足ですが、その分、風の音が多少強いです。","1,4",4.0,0
とても良い商品です。,"とても良い商品です。
・風力は電源ボタンを押す度に変更可能です。
・本日日中に使用しましたところ、手持ちの扇風機よりかなり風量があり、両手が開くので楽です。
・羽なしとありますが、本体内部に直径4～5㎝程の風車が左右に各1個内蔵されていますので、見た目は
　羽なしです。
・首の後ろに当たる部分に金属プレートが付いていますが、初めはひんやりしますが、そのうち体温か
　外気温で温かくなってしまいました。私の使い方が悪かったのかな。
・バッテリーについては、申し分ないと思います。ただし室外の長時間作業で使用するとなると考えて
　使用しないといけないかと思います。
・通勤通学で1時間、往復2時間と仮定し、月～金まで5日間使用して約10時間位、土日に充電する。
　という使用サイクルになるかと思います。
・あとは全体的に耐久性がどのくらいあるか期待しています。","1,2,4",4.0,0
充電長持ちで良き,"充電長持ちで良き
風量1でしかほとんど使用しませんが充電は1日もつしじゅうぶんです。風量MAXは風音もうるさいしあまり使いません。
※汗ふきシートなどで耳周りを拭いておくと、風でめっちゃ涼しくなるのでおすすめです。
冷却プレートは直ぐに自分の体温でアチチになるので、気休めです笑
あと2cmくらい後ろまで風口があれば最高でした。結局首の後ろが滝の汗。
髪の毛が巻き込まれる事は無いですが、当たるとチリチリ言うのが少し不安になります。
","1,4",4.0,0
使いやすい,"使いやすい
操作が簡単で使いやすい。
音が少し大きい。",1,4.0,0
手持ち要らず,"手持ち要らず
ファンの吹出口が横なので顔にはあたってますけど　内側の丸いところからも風の吹出してくれたらより涼しいかと！改善の余地有るのでは?",1,4.0,0
涼しい所で,"涼しい所で
涼しい部屋や車内でMax運転すると凄く涼しいてわすよ。暑い屋外では使う気にはなれません。音はまぁまぁうるさいです。","1,4",3.0,0
いまいちです。,"いまいちです。
屋外では使えません。ACの効いた部屋の中なら効果がありますが。
私は田舎に住んでいますが近所の大都市（100万都市）に行っても使っている人は一人もいませんでした。
皆、部屋の中で使っているのでしょうか？　後ろの冷える冷却板も首に当たりにくいので効果はあんまり無いです。","1,4",3.0,0
風は良い。,"風は良い。
涼感プレートはただのステンレスの板なので、ヒヤッとするのは、最初の一瞬だけです。
プレート自体が冷えるタイプではありません。",1,3.0,0
まあまあ,"まあまあ
連続使用していると、首の部分に熱を持って逆に暑くなる","1,4",3.0,0
バッテリーの持ちがちょっと,"バッテリーの持ちがちょっと
バッテリーの持ちが少し悪いように感じる",1,3.0,0
涼しさ,"涼しさ
首の部分は冷たく、首に掛けてても忘れるぐら軽く、全く負担にならなかったのですが、プールに行った時に使用した為か、風量は残念な感じがしました","1,4",3.0,0
値段の割には良い仕事するかな,"値段の割には良い仕事するかな
外で使ったので涼しい風ではなかったが送風は、しっかり感じたので良いと思う
","1,4",4.0,1
顔が涼しい,"顔が涼しい
顔に風があたるので涼しいです。ただ、もう少し顔の前の方にも風があたると思っていたので、星の数を１つ減らしました。
",1,4.0,1
ウォーキングに使っています。,"ウォーキングに使っています。
ウォーキングに使っています。充電の数字が少しわかりにくいです。音は静かです。この価格でこの性能なら満足です。
","1,3,4",4.0,2
バッテリー残量,"バッテリー残量
充電中も使用中もバッテリー残量が%表示されてるのがわかりやすくて良かった
強さを２にして３時間ほど使ったが
残量が70%ぐらい残ってたので長時間使用も問題なさそう
","1,4",4.0,7
この値段なら,"この値段なら
音もそこまでうるさく無く風量も調節出来て良い買い物をしたなと思います。
",1,4.0,1
